from,to,distance,ntrains
AGI,NCH,18.0,2
AGI,NMT,11.0,3
AGI,MXN,28.0,4
AGI,SLGR,26.0,4
AGI,SLX,5.0,1
AGMN,BDYR,8.0,4
AGMN,DBB,34.0,4
AGN,G,23.0,14
AGN,DGG,50.0,6
AGN,SKS,15.0,8
AGR,PCN,9.0,2
AGR,BMI,4.0,2
AGTL,DMR,140.0,2
AGTL,UDPU,43.0,2
AGTL,TLMR,38.0,6
AGTL,JGNR,4.0,4
AGTL,SKKE,6.0,2
AGV,DNT,4.0,2
AGV,LXD,6.0,2
AGZ,NKX,8.0,2
AH,IDH,24.0,10
AH,BTE,28.0,35
AH,MTJ,38.0,4
AH,CIK,9.0,1
AH,RAI,6.0,1
AHA,KIUL,23.0,38
AHA,JMP,21.0,40
AHA,KJH,7.0,24
AHA,DRH,10.0,19
AHA,MSDN,5.0,3
AHH,MET,19.0,10
AHH,LDH,26.0,10
AHN,JRLE,6.0,2
AHN,SPLE,7.0,2
AI,AJE,7.0,12
AI,GIMB,9.0,14
AI,BHUJ,49.0,2
AIA,HSI,12.0,2
AIA,BWL,12.0,2
AIA,MJNL,6.0,2
AIA,KNAR,6.0,2
AII,KSG,25.0,108
AII,DOZ,7.0,5
AII,HTD,10.0,2
AII,JP,135.0,28
AII,FA,206.0,6
AII,NSD,23.0,31
AII,BER,52.0,53
AII,BJNR,65.0,10
AII,FL,80.0,8
AII,MJ,139.0,5
AII,BHL,132.0,18
AII,MDJN,7.0,5
AII,RANI,191.0,2
AIT,MOTH,34.0,10
AIT,ORAI,25.0,12
AIT,VGLJ,89.0,2
AJE,BHUJ,42.0,14
AJE,GIMB,16.0,2
AJI,HRI,32.0,12
AJI,SPN,30.0,11
AJI,ROZA,23.0,1
AJJ,RU,66.0,11
AJJ,PER,69.0,63
AJJ,MS,81.0,3
AJJ,TRT,13.0,18
AJJ,MAS,75.0,27
AJJ,WJR,36.0,6
AJJ,KPD,61.0,75
AJJ,TRL,27.0,29
AJJ,SHU,21.0,9
AJJ,MCN,44.0,1
AJJ,AVN,12.0,2
AJJ,CTRE,8.0,2
AJJ,CJ,31.0,4
AJJ,AVD,54.0,2
AJK,SRNR,3.0,2
AJK,WPR,6.0,2
AJNI,SNI,44.0,3
AJNI,NGP,3.0,8
AJNI,WR,75.0,5
AJP,RRB,18.0,11
AJP,HSD,21.0,4
AJP,SHV,10.0,7
AJR,BRKY,5.0,1
AJR,DKDE,8.0,1
AK,SEG,37.0,62
AK,BD,79.0,71
AK,MZR,38.0,32
AK,WHM,81.0,42
AK,BSL,140.0,41
AK,BGN,19.0,2
AK,MKU,89.0,22
AK,NN,62.0,4
AK,NGP,253.0,6
AK,GAO,12.0,1
AK,YAD,8.0,1
AK,NAVI,84.0,2
AK,WR,174.0,2
AKD,KSH,18.0,12
AKD,SJP,13.0,22
AKD,BCH,30.0,6
AKD,MKC,49.0,2
AKD,BLX,12.0,2
AKE,KMC,27.0,10
AKE,MZL,10.0,11
AKE,LSMP,4.0,1
AKJ,NHH,15.0,2
AKJ,HGH,17.0,2
AKN,BGP,14.0,10
AKN,SGG,10.0,12
AKN,CTMP,4.0,1
AKN,MVV,4.0,1
AKN,NAT,10.0,2
AKOR,SUR,35.0,10
AKOR,DUD,28.0,8
AKOR,GUR,51.0,4
AKOR,TLT,14.0,1
AKOR,HG,20.0,1
AKP,TUNI,64.0,23
AKP,VSKP,33.0,8
AKP,DVD,15.0,69
AKP,YLM,24.0,34
AKP,SLO,118.0,10
AKP,EE,258.0,2
AKP,ANV,81.0,4
AKP,NASP,17.0,2
AKP,KSK,6.0,2
AKRD,DEHR,5.0,5
AKRD,CCH,3.0,5
AKT,NIA,15.0,21
AKT,BSP,27.0,28
AKT,CPH,26.0,6
AKT,KTSH,6.0,2
AKT,KPNA,9.0,4
AKT,JRMG,13.0,1
AKV,BRC,80.0,50
AKV,ST,50.0,53
